ID,Answer
10023321,1
10076124,1
10292442,3
10450610,3
10466910,2
10498495,4
10598939,3
10657631,1
10697984,4
10755199,3
10893831,2
10899468,3
11029747,2
11115650,3
11171068,3
11264504,1
11300704,1
11321456,4
11348435,3
11368101,1
11423982,1
11516995,3
11556898,2
11693578,3
11753162,3
11813456,3
11838237,3
11891863,3
12099579,1
12102484,2
12150342,1
12246676,3
12445203,3
12698762,1
12884075,1
12926965,4
13007916,2
13112037,1
13154559,1
13258450,2
13355897,3
13609500,1
13610809,2
13691360,1
13763772,3
13766210,1
13984831,2
14239854,3
14280563,3
14369409,2
14396639,1
14492855,2
14571007,2
14709051,3
14814753,2
14908693,3
15117062,3
15168293,2
15192355,4
15227387,1
15398662,3
15912226,2
15951075,1
16193830,1
16204497,2
16362129,3
16407193,3
16457852,3
16518476,2
16546810,3
16549356,3
16703406,1
16898108,3
16909153,1
16910649,3
16983731,1
17019434,2
17329587,1
17471896,3
17724480,3
17873549,2
18128262,3
18178799,3
18257409,3
18397693,1
18492824,1
18515874,1
18741469,2
18779447,2
18989913,3
19038866,1
19212462,2
19220703,2
19277838,1
19303177,2
19445297,3
19463064,3
19576366,4
19584616,2
19662077,1
19675519,3
19714653,2
19720602,3
19827337,2
19953743,1
19954659,3
20073793,3
20094174,3
20142679,3
20212100,1
20336490,2
20513965,3
20583494,3
20593833,2
20625301,1
20634540,3
20720072,3
20736627,1
20929290,1
21016444,1
21106935,3
21189878,3
21226453,2
21336728,2
21351331,3
21369991,2
21561344,3
21577123,1
21743020,3
21763747,3
21778173,2
21820433,2
21931231,1
22016589,3
22100377,2
22101890,2
22229083,2
22367603,3
22386247,1
22507162,1
22758996,1
22988063,1
23009422,3
23064985,3
23094030,3
23120095,2
23185450,3
23333701,2
23352935,3
23378299,1
23522594,1
23608299,3
23817944,3
23930613,4
24143628,3
24263046,3
24355799,2
24365031,4
24435016,1
24449680,3
24542374,2
24610726,3
24649708,2
24676882,2
24884065,1
24910497,3
24972835,3
25019784,1
25082737,2
25199776,3
25264183,1
25344713,2
25498596,2
25543707,2
25556764,3
25571050,2
25641937,3
25697929,3
25748090,2
25771114,2
25780278,2
25792979,2
25820129,2
25836968,3
25892380,1
26027353,2
26157663,2
26186497,4
26210726,2
26227064,3
26330504,2
26381972,3
26460032,1
26533393,2
26535956,1
26607564,3
26647314,3
26656486,2
26724971,4
26921201,1
26936231,3
26968505,3
27322080,3
27332335,1
27363514,2
27618457,1
27630450,1
27831894,3
27947154,3
27952572,3
27969464,1
28015653,2
28092570,2
28220506,2
28279100,1
28443714,4
28516385,2
28695603,3
28701210,3
28725148,1
28802066,3
29074746,3
29135757,3
29197407,3
29220937,1
29246936,2
29310798,1
29349634,3
29634427,2
29810805,3
29938730,3
30090975,3
30103282,1
30103343,2
30301090,3
30351914,2
30446630,2
30538256,2
30614498,3
30717875,3
30888639,2
30916139,1
30920549,2
30927330,3
31052796,3
31082653,3
31204497,2
31297308,1
31388061,1
31418038,3
31491549,2
31529728,4
31656758,3
31929624,3
32010797,2
32065696,1
32113189,2
32354842,1
32373063,3
32512700,3
32528495,3
32538170,3
32745936,4
32815343,2
32827530,3
32877429,2
32923350,2
32999142,3
33193908,1
33216442,1
33339940,3
33356590,1
33438579,4
33481747,1
33734254,3
33792933,1
33797297,1
33989028,3
34100541,3
34165479,3
34314302,3
34413826,3
34483223,2
34531294,1
34596882,3
34786269,2
34833527,2
34979667,1
34999260,1
35086193,1
35086611,3
35148524,4
35190340,2
35377022,3
35388601,2
35496107,3
35626112,1
35660762,1
35683046,1
35686634,3
35690404,1
35726050,1
35889309,3
35996402,4
36128561,3
36151996,1
36464231,2
36466099,3
36777664,2
36780224,2
36921231,3
36927037,2
36979416,3
37009957,3
37037764,1
37393415,1
37716553,1
37872188,1
37946620,1
38148049,2
38162949,1
38316553,2
38576994,4
38722560,3
38794952,1
38876311,3
39037060,2
39205257,4
39250564,4
39342484,3
39370749,4
39457290,4
39469100,2
39472570,3
39615550,3
39623148,2
39740294,3
39860584,3
39915817,3
40267484,2
40342498,2
40485081,1
40607676,2
40678959,2
40704733,3
40817799,2
40852250,3
40893184,2
41054040,4
41260821,4
41294659,2
41634618,1
41646437,1
41674658,2
41896433,2
42024282,2
42037518,1
42044798,3
42270254,3
42276779,1
42310855,3
42356310,2
42423693,3
42464984,2
42503762,3
42554751,2
42883747,3
42913341,1
42992438,1
43031177,2
43154080,1
43241506,3
43282777,4
43462849,1
43596953,3
43681892,1
43748728,2
43764994,3
43809667,1
43936611,3
44034184,1
44305696,3
44384618,3
44444743,3
44494522,4
44528461,3
44758733,2
44916808,2
44989428,3
45033275,2
45212997,3
45277639,3
45377503,3
45424161,3
45492456,3
45573277,1
45707007,3
45721011,3
45858186,4
45887033,2
46279778,3
46478391,2
46657991,2
46790338,4
47025738,3
47191375,1
47280828,1
47360608,1
47372380,2
47891041,3
48059548,3
48124050,1
48182413,3
48213959,1
48309802,2
48371253,2
48445433,4
48508684,1
48641187,3
48761892,2
48899741,1
48992758,2
49014843,3
49097615,1
49101607,2
49199740,1
49301192,3
49345576,1
49494468,3
49672872,3
49909534,2
49927530,3
49971434,3
50027320,3
50041578,4
50056043,1
50245418,2
50250811,3
50497638,3
50506871,3
50547976,3
50612944,3
50687196,2
50768900,1
50966204,1
50992179,2
51000853,4
51037962,2
51177478,3
51177767,2
51468230,3
51515317,3
51593301,2
51641638,1
51706669,2
51991177,2
52042156,3
52095705,2
52310324,2
52367944,2
52496524,3
52508855,2
52548519,2
52625207,2
52626596,3
52646281,3
52738229,3
52951154,3
53167269,3
53206407,1
53307108,1
53389303,2
53670420,2
53749565,3
53881027,2
53985915,3
54010869,3
54181581,2
54248885,3
54382171,1
54562016,3
54563893,1
54567832,3
54579633,2
54703635,3
55013257,3
55022132,2
55031777,1
55113922,4
55168507,2
55185532,3
55295938,1
55384860,3
55405606,1
55543404,1
55633512,3
55778234,1
55834141,1
55881902,3
55904212,3
55969081,2
56073710,3
56139505,3
56167998,1
56412334,3
56413209,3
56712590,3
56789552,1
56857979,2
56933634,1
56950104,3
56995889,3
57025942,3
57031941,2
57156762,2
57221803,2
57443301,2
57481416,2
57948540,3
58013283,1
58023829,1
58049946,2
58147431,2
58172260,1
58254705,4
58317090,3
58462760,2
58463253,3
58475200,3
58546022,2
58555292,2
58598675,3
58678601,3
58818792,3
58832479,3
