ID,Answer
10023321,2
10076124,1
10292442,1
10450610,3
10466910,2
10498495,1
10598939,1
10657631,1
10697984,1
10755199,1
10893831,4
10899468,1
11029747,2
11115650,1
11171068,4
11264504,4
11300704,1
11321456,1
11348435,1
11368101,1
11423982,1
11516995,3
11556898,2
11693578,1
11753162,3
11813456,1
11838237,3
11891863,3
12099579,1
12102484,1
12150342,1
12246676,2
12445203,3
12698762,1
12884075,1
12926965,4
13007916,2
13112037,4
13154559,1
13258450,2
13355897,3
13609500,1
13610809,2
13691360,1
13763772,1
13766210,1
13984831,1
14239854,1
14280563,4
14369409,2
14396639,1
14492855,2
14571007,4
14709051,3
14814753,1
14908693,3
15117062,4
15168293,2
15192355,4
15227387,1
15398662,1
15912226,2
15951075,4
16193830,2
16204497,4
16362129,1
16407193,2
16457852,2
16518476,1
16546810,1
16549356,1
16703406,4
16898108,4
16909153,1
16910649,4
16983731,4
17019434,2
17329587,4
17471896,4
17724480,2
17873549,1
18128262,1
18178799,3
18257409,1
18397693,1
18492824,1
18515874,1
18741469,2
18779447,2
18989913,1
19038866,1
19212462,2
19220703,4
19277838,1
19303177,2
19445297,1
19463064,1
19576366,1
19584616,2
19662077,1
19675519,3
19714653,4
19720602,3
19827337,2
19953743,1
19954659,3
20073793,1
20094174,4
20142679,4
20212100,1
20336490,1
20513965,3
20583494,4
20593833,3
20625301,1
20634540,4
20720072,3
20736627,1
20929290,1
21016444,1
21106935,5
21189878,3
21226453,2
21336728,6
21351331,3
21369991,4
21561344,4
21577123,4
21743020,2
21763747,4
21778173,1
21820433,4
21931231,2
22016589,3
22100377,2
22101890,1
22229083,2
22367603,3
22386247,2
22507162,4
22758996,1
22988063,1
23009422,1
23064985,1
23094030,1
23120095,2
23185450,1
23333701,1
23352935,1
23378299,4
23522594,1
23608299,4
23817944,1
23930613,1
24143628,4
24263046,1
24355799,1
24365031,4
24435016,1
24449680,1
24542374,1
24610726,1
24649708,3
24676882,4
24884065,1
24910497,3
24972835,3
25019784,1
25082737,1
25199776,1
25264183,1
25344713,2
25498596,4
25543707,2
25556764,1
25571050,2
25641937,1
25697929,4
25748090,2
25771114,2
25780278,2
25792979,2
25820129,2
25836968,3
25892380,4
26027353,4
26157663,1
26186497,1
26210726,2
26227064,3
26330504,3
26381972,3
26460032,4
26533393,1
26535956,2
26607564,1
26647314,1
26656486,2
26724971,1
26921201,1
26936231,3
26968505,4
27322080,1
27332335,4
27363514,4
27618457,1
27630450,1
27831894,3
27947154,3
27952572,3
27969464,1
28015653,2
28092570,2
28220506,1
28279100,1
28443714,4
28516385,2
28695603,3
28701210,1
28725148,1
28802066,2
29074746,2
29135757,3
29197407,4
29220937,1
29246936,2
29310798,1
29349634,2
29634427,4
29810805,3
29938730,3
30090975,3
30103282,4
30103343,4
30301090,2
30351914,2
30446630,2
30538256,2
30614498,3
30717875,1
30888639,2
30916139,1
30920549,2
30927330,4
31052796,2
31082653,3
31204497,2
31297308,1
31388061,1
31418038,1
31491549,4
31529728,4
31656758,4
31929624,4
32010797,2
32065696,1
32113189,1
32354842,1
32373063,4
32512700,4
32528495,4
32538170,4
32745936,4
32815343,1
32827530,1
32877429,1
32923350,2
32999142,3
33193908,1
33216442,1
33339940,4
33356590,1
33438579,4
33481747,4
33734254,4
33792933,1
33797297,1
33989028,1
34100541,3
34165479,2
34314302,3
34413826,2
34483223,1
34531294,4
34596882,2
34786269,2
34833527,2
34979667,1
34999260,1
35086193,1
35086611,1
35148524,1
35190340,2
35377022,3
35388601,4
35496107,3
35626112,4
35660762,1
35683046,1
35686634,3
35690404,1
35726050,1
35889309,4
35996402,1
36128561,3
36151996,1
36464231,4
36466099,1
36777664,2
36780224,2
36921231,3
36927037,2
36979416,2
37009957,3
37037764,1
37393415,1
37716553,4
37872188,2
37946620,1
38148049,2
38162949,2
38316553,2
38576994,1
38722560,1
38794952,1
38876311,1
39037060,1
39205257,4
39250564,4
39342484,1
39370749,5
39457290,4
39469100,2
39472570,4
39615550,5
39623148,2
